Geography,Count of 1,Sum of MIN Tract,Sum of LMI Tract,Sum of Total Persons,Sum of Total Families,Sum of Total HHs,Sum of Total Female Pop,Sum of Total Male Pop,Sum of Total Minority Pop,Average of Minority Pop as Percent of Tract Pop,Sum of Total Pop Hispanic only,Sum of Total Pop Non-Hispanic White,Sum of Total Pop Non-Hispanic American Indian/Alaska Native,Sum of Total Pop Non-Hispanic Native Hawaiian/other Pacific Islander,Sum of Total Pop Non-Hispanic Black/African American,Sum of Total Pop Non-Hispanic Asian,Sum of Total Pop Householder in Family HHs,Sum of Total Pop in Family HHs,Sum of Total Male Householders in Family HHs,Sum of Total Female Householders in Family HHs,Sum of Total Spouse Householder in Family HHs,Sum of Total Children in Family HHs,Sum of Total Grandchildren in Family HHs,Sum of Total Parents in Family HHs,Sum of Total Other Relatives in Family HHs,Sum of Total Non-relatives in Family HHs,Sum of Total Pop in Non-Family HHs,Sum of Total Male Households in Non-Family HHs,Sum of Total Male Householders living alone in Non-Family HHs,Sum of Total Male Householders not living alone in Non-Family HHs,Sum of Total Female Householders in Non-Family HHs,Sum of Total Female Householders living alone in Non-Family HHs,Sum of Total Female Householders not living alone in Non-Family HHs,Sum of Total nonrelatives in Non-Family HHs,Sum of Total Pop in Group Quarters,Sum of Total Pop 65 years and over,Sum of Total Population,Sum of Total Male Pop2,Sum of Total Male Pop 18 to 24 years,Sum of Total Male Pop 25 to 39 years,Sum of Total Male Pop 40 to 49 years,Sum of Total Male Pop 50 to 61 years,Sum of Total Male Pop 62 years and over,Sum of Total Female Pop2,Sum of Total Female Pop 18 to 24 years,Sum of Total Female Pop 25 to 39 years,Sum of Total Female Pop 40 to 49 years,Sum of Total Female Pop 50 to 61 years,Sum of Total Female Pop 62 years and over,Sum of Total Male/Female Pop 18 to 24 years,Sum of Total Male/Female Pop 25 to 39 years,Sum of Total Male/Female Pop 40 to 49 years,Sum of Total Male/Female Pop 50-61 years,Sum of Total Male/Female Pop 62 years and over,Average of Female Median Age,Average of Male Median Age,Average of Persons Median Age,Sum of Total Male Pop 16 and over,Sum of Total Male Pop 16 and over in Labor Force,Sum of Total Male Pop 16 and over in Armed Forces,Sum of Total Male Pop 16 and over - Civilians,Sum of Total Male Pop 16  and over - Employed,Sum of Total Male Pop 16 and over - Unemployed,Sum of Total Male Pop 16 and over - Not in Labor Force,Sum of Total Female Pop 16 and over,Sum of Total Female Pop 16 and over in Labor Force,Sum of Total Female Pop 16 and over in Armed Forces,Sum of Total Female Pop 16 and over - Civilians,Sum of Total Female Pop 16  and over - Employed,Sum of Total Female Pop 16 and over - Unemployed,Sum of Total Female Pop 16 and over - Not in Labor Force,Average of MFI - White,Average of MFI - Black,Average of MFI - American Indian/Alaska Native,Average of MFI - Asian,Average of MFI - Native Hawaiian/Pacific Islander,Average of MFI - Some other race,Average of MFI - Two or more races,Average of MFI - Hispanic or Latino,"Average of MFI - White, not Hispanic",Sum of Total Families2,Sum of Total Families with Income Below Poverty,Sum of Total Housing Units,Sum of Total Housing Units - Occupancy Status,Sum of Total Occupied Housing Units,Sum of Total Vacant Housing Units,Sum of Total Occupied Housing Units - Tenure,Sum of Total Owner Occupied Housing Units - Tenure,Sum of Total Renter Occupied Housing Units - Tenure,Average of Median Year Structure Built,Average of Median Gross Rent - Dollars,Average of Median Value (Dollars) for all Owner Occupied Housing Units,Average of MFI as Percent of MSA MFI,Average of MSA MFI,Sum of Low Income,Sum of Moderate Income,Sum of Middle Income,Count of Upper Income,Sum of LMI Pop,Sum of MIN Pop
NM,518,314,155,2323168,562198,856591,1172662,1150506,1369634,57.90420849,1075045,953534,190052,1354,37528,28688,562198,1861722,328063,234135,399959,687455,65706,21700,47239,51334,363540,142163,113772,28391,152230,130524,21706,69147,51821,303312,2323168,1150506,116205,219134,150625,185477,183704,1172662,110214,213371,152938,197351,215213,226419,432505,303563,382828,398917,38.7953668,36.69111969,37.75096525,867908,573346,7324,539617,522682,43340,294562,903488,506230,1390,485680,469373,35467,397258,57498.15058,15076.19691,23670.30695,18592.83591,4.824324324,41462.60425,20998.06564,45232.92471,62765.05405,562198,78643,1028762,1028762,856591,172171,856591,600200,256391,1958.465251,711.3011583,164063.8996,102.3256564,54231.46718,22,133,223,518,84146,1475322
NV,697,261,192,2781411,662593,1009061,1375003,1406408,1258621,43.85598278,728955,1522790,26764,15564,209502,192165,662593,2211895,392501,270092,479982,784090,51188,40749,75344,75882,461867,187256,138541,48715,159212,127189,32023,115399,39018,314181,2781411,1406408,131558,304086,204905,211234,204209,1375003,123686,289152,191638,212856,223567,255244,593238,396543,424090,427776,37.59827834,36.7446198,37.12338594,1065225,781936,8567,739378,701543,71826,283289,1047245,642565,1523,616159,586034,55008,404680,67147.10043,34400.033,9841.166428,48654.61263,3108.499283,34430.14347,25730.65567,52585.26829,70653.36872,662593,57212,1177404,1177404,1009061,168343,1009061,610178,398883,1827.992826,1101.922525,257187.5165,101.4428981,60352.94118,40,152,301,697,150240,1103441
NY,4923,1788,1568,19453716,4676964,7235908,10039103,9414613,8076563,42.11113549,3417985,11377153,54042,5345,2784399,1406437,4676964,15495901,2505151,2171813,3271022,5752134,357624,276875,490458,401863,3214154,1133077,883837,249240,1425867,1219052,206815,655210,595438,2567523,19453716,9414613,1008090,1929442,1378160,1500665,1378032,10039103,981923,1995568,1447119,1624664,1867521,1990013,3925010,2825279,3125329,3245553,38.69591712,36.05606338,37.44728824,7369500,5116446,23818,4875351,4690481,402147,2253054,8084690,4728621,2790,4545332,4390189,335642,3356069,71216.56429,33431.15113,2244.209222,45463.82226,61.84216941,22341.75279,17869.20252,44522.21938,71374.19419,4676964,502849,8097347,8097347,7235908,861439,7235908,4000891,3235017,1909.5844,1017.27016,360710.2234,99.61932155,75382.49035,517,1051,2027,4923,2096023,6852347
OH,2967,493,976,11877607,3076833,4686317,6075406,5802201,2192261,23.15519043,360495,9685346,21764,3431,1392326,191593,3076833,9582908,1785052,1291781,2292557,3454906,208188,87816,155775,221657,1957906,735166,595576,139590,874318,761938,112380,348422,313526,1637972,11877607,5802201,568593,1087486,822073,986537,899869,6075406,556711,1099361,841679,1032714,1170391,1125304,2186847,1663752,2019251,2070260,39.65689248,37.07785642,38.45062353,4504210,3146878,9949,3007848,2842467,294462,1357332,4844672,2903247,1970,2791904,2671966,229311,1941425,59376.21436,25379.96023,1007.046849,20969.58106,0,4475.609707,10659.19818,17816.99629,59522.22548,3076833,319224,5262364,5262364,4686317,576047,4686317,3251824,1434493,1949.405123,704.7677789,133010.482,96.5521065,63900.64038,335,641,1302,2967,823520,1268636
OK,1091,154,312,4322959,1099257,1635697,2176498,2146461,1339207,32.19446379,385535,2983752,372752,4201,288395,66777,1099257,3452758,631427,467830,832337,1195696,104237,32713,73973,78782,650409,248704,202916,45788,287736,252483,35253,113969,137451,584016,4322959,2146461,221845,431007,283381,333410,329346,2176498,209312,410770,280686,345490,408814,431157,841777,564067,678900,738160,38.08982585,35.71860678,36.8863428,1625430,1110983,20322,1035637,1022397,68264,514447,1684033,949312,2573,906183,889500,57239,734721,55962.07058,21170.51696,38917.47388,16394.12374,275.6296975,12232.02108,38586.54904,29653.48304,56810.64528,1099257,133223,1913806,1913806,1635697,278109,1635697,1126376,509321,1964.351971,653.9605866,102219.2475,99.25750687,58871.76902,62,250,537,1091,157880,516030
OR,850,24,174,4056847,1019285,1591719,2047506,2009341,865487,20.32350588,476014,3191360,49206,13259,65712,141013,1019285,3152136,598113,421172,794072,1059088,56838,30923,63287,95243,745079,266985,194684,72301,305449,247998,57451,172645,89031,549119,4056847,2009341,191031,410716,270390,338497,329390,2047506,184172,399909,269060,354815,392987,375203,810625,539450,693312,722377,39.75411765,38.04235294,38.89411765,1562529,1087386,2951,1042880,981108,103327,475143,1619061,955439,426,923134,880426,74587,663622,63319.56824,8188.584706,13642.03294,34064.20353,1832.844706,18972.17176,29506.79176,39571.05412,64421.81059,1019285,98818,1765947,1765947,1591719,174228,1591719,1020363,571356,1949.905882,809.8305882,262850.7047,101.1557647,63961.76471,15,159,481,850,65746,129520
PA,3226,455,855,12825089,3264007,4987703,6572357,6252732,2614066,21.39475821,721877,10211023,17104,2724,1329401,346899,3264007,10193661,1933010,1330997,2469825,3615292,211117,124710,183735,216902,2108012,765801,613753,152048,957895,835826,122069,384316,433502,1948236,12825089,6252732,643067,1148289,901133,1076718,1040445,6572357,627949,1147497,923318,1121669,1376613,1271016,2295786,1824451,2198387,2417058,41.09206448,38.3099814,39.75790453,4926981,3391237,8584,3222571,3120854,261799,1535744,5319778,3085301,1155,2957622,2874288,209858,2234477,64977.7266,25862.59826,779.3543087,30054.92126,79.0449473,6281.937074,10423.71668,22389.75108,65474.21513,3264007,278454,5609026,5609026,4987703,621323,4987703,3544893,1442810,1939.277433,765.9959702,167159.7647,99.79628022,69075.82145,201,654,1632,3226,643875,1655243
PR,976,926,279,4337149,1062113,1421349,2254873,2082276,4306230,94.14927254,4294741,30919,366,91,5179,3175,1062113,3916142,533347,528766,635096,1649111,203726,54590,129930,110819,421776,156767,133238,23529,202469,183152,19317,62540,41029,599214,4337149,2082276,219754,411553,267664,295570,345994,2254873,216854,440192,301254,345691,434494,436608,851745,568918,641261,780488,36.93545082,33.51434426,35.34733607,1606581,854844,2011,826900,710291,142542,751737,1798728,729330,222,715592,602106,127002,1069398,22912.87602,20013.74693,646.0092213,1361.590164,2.56045082,20200.35143,16946.15266,21741.87398,9210.431352,1062113,452187,1713718,1713718,1421349,292369,1421349,1032857,388492,1843.372951,421.4887295,110572.1311,97.99131148,24337.60246,54,225,398,976,173196,4337149
RI,244,39,75,1052567,258572,410305,544167,508400,248882,23.5154918,130655,803685,4020,305,51560,29988,258572,822248,138293,120279,188017,300751,14267,12048,18781,19357,190526,68267,53099,15168,83466,71154,12312,38793,43615,149960,1052567,508400,59830,94367,75070,85367,79090,544167,60139,96325,79360,91567,107496,119969,190692,154430,176934,186586,39.87704918,37.37704918,38.68852459,406944,289234,3397,272685,261547,24290,117710,448603,275472,758,264582,254377,20337,173131,72046.61885,28359.02049,1205.32377,32407.14754,0,13060.27459,13921.88115,30840.40574,73521.75,258572,21781,460734,460734,410305,50429,410305,256545,153760,1923.881148,898.2622951,293390.5779,99.20536885,74400,26,49,93,244,100481,173682
SC,1117,305,340,4919013,1245799,1848116,2520950,2398063,1814964,36.79774396,247941,3104049,18489,2188,1413857,59352,1245799,3909437,686667,559132,887797,1367295,133374,41859,94664,85404,738301,275484,222650,52834,326833,286980,39853,135984,157233,637429,4919013,2398063,256302,469459,332160,379577,375739,2520950,246676,472715,346263,417285,475901,502978,942174,678423,796862,851640,39.0519248,36.5129812,37.79677708,1830963,1234181,29610,1151428,1090276,114295,596782,1970454,1136065,7839,1087783,1023073,105153,834389,60324.00627,36331.70725,2131.974933,12724.14414,2.237242614,5716.200537,10268.65891,17819.17995,61043.80842,1245799,157576,2219210,2219210,1848116,371094,1848116,1295881,552235,1939.427932,708.2811101,146852.9141,98.07290958,57316.47269,55,285,496,1117,165534,1341937
SD,283,28,50,1244620,316182,483406,621071,623549,200251,16.60667845,31527,1044369,124410,416,11831,9895,316182,973292,194162,122020,252403,336173,21624,4447,12452,22495,200678,79377,65030,14347,87847,76493,11354,33454,52683,184264,1244620,623549,62359,114368,80711,104853,101890,621071,57950,107322,78723,101657,124403,120309,221690,159434,206510,226293,39.83038869,37.66077739,38.74558304,475688,344977,4359,319288,322442,18176,130711,481369,308931,604,292476,295098,13229,172438,58593.03534,5055.756184,13701.40636,9002.077739,0,4791.30742,12647.38869,14795.87633,58646.84452,316182,29126,555781,555781,483406,72375,483406,335664,147742,1966.367491,529.614841,104994.6996,97.48402827,64053.00353,8,42,201,283,36032,100585
TN,1543,273,426,7138747,1857632,2747177,3647862,3490885,1631029,25.15640959,306245,5507718,18678,2901,1105190,92212,1857632,5766911,1087873,769759,1379920,1978164,171737,62465,124996,128297,1076921,406323,329127,77196,483222,427402,55820,187376,179264,937189,7138747,3490885,337727,691847,499825,562650,541783,3647862,332527,696194,512089,603067,686474,670254,1388041,1011914,1165717,1228257,39.17952041,36.79196371,38.02009073,2680774,1823322,15323,1731703,1647344,160655,857452,2868682,1621841,2025,1559484,1479128,140688,1246841,55511.51847,29526.25211,3059.280622,17111.36941,165.2618276,6108.6442,11587.23072,19116.53208,56006.6792,1857632,237189,3134102,3134102,2747177,386925,2747177,1932242,814935,1946.957874,675.2112767,135281.6585,99.68826312,57720.34997,117,309,742,1543,371046,1044210
TX,5425,2713,1815,26838379,6425917,9148914,13502505,13335874,14421815,53.18457512,9996543,12416564,87207,18321,2993065,957025,6425917,21934547,3725817,2700100,4719252,8286878,695738,304603,680217,493324,3390678,1310194,1042419,267775,1412803,1222946,189857,667681,664385,2746769,26838379,13335874,1398263,2854983,1836071,1901177,1621455,13502505,1313272,2812808,1839461,1976269,2002595,2711535,5667791,3675532,3877446,3624050,35.64884793,33.66746544,34.67428571,9697287,7001968,85306,6642746,6447602,469060,2695319,9998398,5797487,18607,5587162,5364218,414662,4200911,62884.14581,33077.30267,6619.761106,30588.62212,202.6158525,35153.25714,21235.62488,47454.44719,67885.46765,6425917,836937,10519537,10519537,9148914,1370623,9148914,5996002,3152912,1938.396313,803.6595392,129178.9316,102.7634802,63241.16129,451,1364,2036,5425,1823208,13574271
UT,606,35,128,2969797,698023,927084,1476820,1492977,572724,19.43425743,374810,2397073,36707,24259,26527,55188,698023,2490171,450651,247372,575726,1021794,52951,17214,55509,44880,316003,110107,81283,28824,118954,96893,22061,86942,49240,259484,2969797,1492977,168049,339641,167721,178899,158040,1476820,168919,323203,164054,181941,183876,336968,662844,331775,360840,341916,30.66006601,29.2970297,29.98514851,1022314,790131,5554,759044,738129,46448,232183,1029448,619845,783,602651,583805,35257,409603,66442.29703,6106.176568,5038.369637,25415.31848,5987.39604,23983.20792,15691.00825,43277.96865,67576.4703,698023,54614,1043126,1043126,927084,116042,927084,664019,263065,1953.211221,870.0214521,229047.5248,102.8292244,68866.9967,25,103,324,606,91082,164264
VA,1982,491,483,9178000,2301338,3422537,4669671,4508329,3098918,34.94845106,675153,6079082,24469,5374,1726894,450601,2301338,7281019,1351270,950068,1745538,2526621,172251,95420,176689,167461,1419838,506071,395665,110406,615128,526823,88305,298639,307077,1116187,9178000,4508329,469045,919120,670539,725823,650980,4669671,447640,915412,687906,771308,821234,916685,1834532,1358445,1497131,1472214,38.76841574,36.68163471,37.77144299,3485559,2493435,105761,2281490,2238106,149568,992124,3682022,2244690,20645,2144055,2094316,129729,1437332,82520.26387,54287.17003,3602.782038,43622.67407,351.3844601,14762.05651,23009.76186,39005.68718,84284.65035,2301338,172809,3851708,3851708,3422537,429171,3422537,2375251,1047286,1922.646317,1033.375378,278444.8073,102.8893037,80886.02422,93,390,875,1982,320007,2109880
VT,189,0,35,719659,188419,295628,364511,355148,39278,5.342116402,10256,680381,2405,159,6383,8269,188419,552625,102416,86003,148299,179231,7211,4171,6277,15721,138764,49680,36398,13282,57529,45740,11789,31555,26688,100966,719659,355148,37589,60466,52040,67764,60854,364511,34799,61165,53940,69638,72245,72388,121631,105980,137402,133099,42.51322751,40.66137566,41.64021164,286450,207686,647,195709,193073,13966,78764,299268,194446,95,186021,184530,9821,104822,63749.8836,5769.650794,4113.883598,11746.9418,0,753.9206349,20100.09524,17937.52381,63620.61905,188419,13696,372754,372754,295628,77126,295628,213173,82455,1955.365079,818.989418,213355.5556,99.19724868,69068.25397,2,33,125,189,3447,0
WA,1471,161,363,6904280,1715687,2653981,3464878,3439402,1877981,26.17046907,774975,5026299,92749,38989,230291,477377,1715687,5380291,1031606,684081,1333019,1860419,91190,56791,110087,155244,1215937,451888,338734,113154,486406,397904,88502,277643,142677,815078,6904280,3439402,341209,714684,490117,564728,499209,3464878,320507,693445,484685,582759,594026,661716,1408129,974802,1147487,1093235,38.41400408,36.82121006,37.61726717,2634874,1894322,45664,1782561,1700438,148220,740552,2696054,1617643,6243,1564092,1498020,113380,1078411,72853.69409,20706.10333,12682.42556,49114.15228,4740.988443,19016.586,37506.67573,45172.76547,74026.86608,1715687,141931,2928684,2928684,2653981,274703,2653981,1725103,928878,1941.789939,940.885792,293394.9714,99.43780421,75040.99252,52,311,738,1471,223717,811682
WI,1440,159,341,6239841,1642162,2515306,3136381,3103460,989701,18.73835417,348472,5250140,65199,1744,354724,130003,1642162,4943007,1007383,634779,1290938,1702243,67075,31555,55080,114786,1087167,417346,324598,92748,455798,381613,74185,214023,163310,857731,6239841,3103460,299427,586665,450841,533224,485626,3136381,285911,565116,445780,529922,597159,585338,1151781,896621,1063146,1082785,38.99375,36.97569444,38.01111111,2420331,1759169,4145,1684811,1623784,131240,661162,2486849,1604986,833,1545803,1511776,92377,881863,63968.75903,12326.56528,7614.195139,25135.57917,48.39444444,10004.93611,12745.22986,28023.42083,64558.59306,1642162,128461,2941056,2941056,2515306,425750,2515306,1768405,746901,1938.914583,705.2229167,166392.0826,95.22214583,69721.52778,113,228,836,1440,322004,479001
WV,520,2,110,2451179,651127,977569,1239663,1211516,147777,7.078634615,26965,2303402,4550,477,70184,13733,651127,1984506,363100,288027,508195,650194,55938,19258,36388,44294,389785,148893,124381,24512,177549,157262,20287,63343,63970,390438,2451179,1211516,110170,223633,168711,221743,223978,1239663,105075,217805,168608,227130,271626,215245,441438,337319,448873,495604,42.54615385,40.05384615,41.29807692,969399,576505,2205,551855,527978,46322,392894,1015479,493270,256,474789,461790,31224,522209,49092.18077,13450.93269,1046.978846,15155.86154,0,950.4730769,9847.823077,7949.661538,49155.99038,651127,86133,1181373,1181373,977569,203804,977569,737520,240049,1967.378846,545.1923077,99683.45962,98.20386538,55387.69231,10,100,326,520,26956,4186
WY,149,2,32,793703,204038,307403,388720,404983,103203,13.60624161,67487,690500,13406,493,4993,5414,204038,621402,118941,85097,166768,202305,12811,4085,9582,16964,128462,52770,41959,10811,50595,43313,7282,25097,19307,98484,793703,404983,38782,80760,52113,72918,62896,388720,35048,73541,50572,69608,68182,73830,154301,102685,142526,131078,38.31543624,37.13422819,37.66442953,307563,231890,2976,217795,219451,9463,75673,299304,189666,550,181178,180572,8544,109638,65557.73154,2805.939597,12389.33557,7277.684564,0,18762.93289,21382.15436,48083.3557,66227.62416,204038,12261,366944,366944,307403,59541,307403,216809,90594,1959.362416,665.9798658,184977.8523,97.56107383,72053.69128,1,31,91,149,2826,8783
"Abbeville County, SC",7,0,0,50834,13358,19750,26192,24642,15706,29.43285714,510,35128,118,10,14320,150,13358,41830,6620,6738,10008,14658,1268,484,826,718,7364,2982,2664,318,3410,3072,338,972,2092,8214,50834,24642,2410,3918,3282,4402,4658,26192,2432,4102,3466,4728,5862,4842,8020,6748,9130,10520,42.42857143,39.85714286,41.14285714,19314,11820,26,11304,10124,1670,7494,21314,11542,0,11030,9862,1680,9772,53023.85714,40838.57143,0,714,0,0,20134,12303,51866.28571,13358,2180,24152,24152,19750,4402,19750,15284,4466,1974.714286,567.8571429,85400,106.5371429,46400,0,0,5,7,0,0
"Acadia County, LA",12,2,7,61773,16143,21984,31612,30161,13218,21.165,1060,48555,155,5,11133,137,16143,53653,8593,7550,11803,21024,2025,370,1174,735,6792,2712,2335,377,3129,2741,388,951,694,7655,61773,30161,2951,5369,4202,4752,4147,31612,2860,5847,4338,4899,5545,5811,11216,8540,9651,9692,36.83333333,33.33333333,35.25,22329,14674,33,13986,13684,957,7655,24031,12247,0,11955,11405,842,11784,52717.75,17460.41667,0,208.25,0,5622.333333,20833.41667,14542.91667,52827.08333,16143,2774,25064,25064,21984,3080,21984,15338,6646,1973.5,483.5,89075,83.82,59600,0,7,4,12,0,9382
